Type,xPos,yPos,width,height,destroyable,xTarget,yTarget,xSpeed,ySpeed,Comment
-1,-1,2,0,0,0,0,0,0,0,Metadata
0,300,1175,700,50,0,0,0,0,0,Floor
0,75,1125,250,50,0,0,0,0,0,Floor
0,525,1125,250,50,0,0,0,0,0,Floor
0,300,1125,200,50,1,0,0,0,0,Floor
1,175,675,150,50,0,175,975,0,0.01,Platforms
0,425,550,150,50,0,0,0,0,0,Platforms
0,175,425,150,50,0,0,0,0,0,Platforms
0,425,300,150,50,0,0,0,0,0,Platforms
1,175,175,150,50,0,425,175,0.01,0,Platforms
0,300,25,700,50,0,0,0,0,0,Ceiling
0,0,600,100,800,0,0,0,0,0,Walls
0,600,600,100,800,0,0,0,0,0,Walls
2,475,1050,100,100,1,0,0,0,0,Tower
