Type,X Pos,Y Pos,Width,Height,Comment
-1,4,4,0,0,Metadata
2,61,60,2,2,tower
0,-2,63,68,3,Floor
0,56,62,10,3,Floor
0,15,48,2,17,Divider
0,16,48,2,2,Divider
0,16,47,5,2,Divider
0,20,46,2,4,Shortcut
1,22,47,4,2,Shortcut
0,26,46,2,4,Shortcut
0,27,47,5,2,Divider
0,30,46,2,2,Divider
0,31,16,2,32,Divider
0,32,16,2,2,Divider
0,32,15,34,2,Divider
0,41,61,3,3,Stairs
0,40,59,2,5,Stairs
0,35,55,3,5,Stairs
0,33,53,3,7,Stairs
0,32,51,2,9,Stairs
0,33,58,4,3,Stairs
1,34,61,2,2,Stairs
0,16,57,6,2,Ledge
0,32,43,27,2,Middle
0,48,44,2,11,Middle
0,49,53,2,2,Middle
0,49,54,7,2,Middle
0,56,47,10,2,Middle
0,56,37,10,2,Middle
1,59,41,7,6,Middle
0,49,41,5,3,Biguns
0,49,39,3,5,Biguns
0,48,37,2,7,Biguns
0,32,35,8,2,Biguns
0,35,26,5,2,Biguns
0,48,24,10,2,Exit
0,55,25,3,2,Exit
0,56,25,3,9,Exit
1,59,31,7,2,Return
0,56,37,10,2,Return
2,55,22,2,2,mountain
