Type,X Pos,Y Pos,Width,Height,Comment
-1,-1,2,0,0,Metadata
0,-2,30,20,4,Floor
0,-2,-2,20,4,Ceiling
0,7,2,2,28,WallMiddle
0,-2,26,7,2,ShaftLeftLower
0,3,22,4,2,ShaftLeftLower
0,-2,18,9,2,ShaftLeftMiddle
0,3,14,4,2,ShaftLeftUpper
0,1,10,4,2,ShaftLeftUpper
0,3,6,4,2,ShaftLeftUpper
0,-2,20,3,6,WallLeftLower
0,-2,6,3,10,WallLeftUpper
0,9,22,4,2,ShaftRightLower
0,11,18,7,2,ShaftRightLower
0,9,14,9,2,ShaftRightMiddle
0,11,10,4,2,ShaftRightUpper
0,9,6,4,2,ShaftRightUpper
0,15,20,3,8,WallRightLower
0,15,6,3,8,WallRightUpper
2,5,20,2,2,plains
2,13,12,2,2,clouds
